model,class,images,instances,precision,recall,map50,map50_95,run_dir,log_source
YOLO11n-P2-CoordAttention-960,tricycle,337,1045,0.43500,0.31700,0.26800,0.15500,runs/detect/yolo11n_p2_coordatt_960_visdrone_full,runs/logs/val_yolo11n_p2_coordatt_960_20260609_182415.stdout.log
YOLO11n-P2-CoordAttention-960,awning-tricycle,220,532,0.30000,0.19800,0.13300,0.08640,runs/detect/yolo11n_p2_coordatt_960_visdrone_full,runs/logs/val_yolo11n_p2_coordatt_960_20260609_182415.stdout.log
YOLO11n-P2-CoordAttention-960,bus,131,251,0.72600,0.51800,0.54600,0.40800,runs/detect/yolo11n_p2_coordatt_960_visdrone_full,runs/logs/val_yolo11n_p2_coordatt_960_20260609_182415.stdout.log
YOLO11n-P2-CoordAttention-960,motor,485,4886,0.56800,0.54300,0.52000,0.23900,runs/detect/yolo11n_p2_coordatt_960_visdrone_full,runs/logs/val_yolo11n_p2_coordatt_960_20260609_182415.stdout.log
YOLO11n-P2-CoordAttention-SmallObjAug,pedestrian,520,8844,0.46600,0.40100,0.38100,0.16500,runs/detect/yolo11n_p2_coordatt_smallobj_aug_visdrone,runs/logs/yolo11n_p2_coordatt_smallobj_aug_resume_20260609_072221.stdout.log
YOLO11n-P2-CoordAttention-SmallObjAug,people,482,5125,0.48800,0.29800,0.28600,0.10500,runs/detect/yolo11n_p2_coordatt_smallobj_aug_visdrone,runs/logs/yolo11n_p2_coordatt_smallobj_aug_resume_20260609_072221.stdout.log
YOLO11n-P2-CoordAttention-SmallObjAug,bicycle,364,1287,0.24200,0.10700,0.08340,0.03310,runs/detect/yolo11n_p2_coordatt_smallobj_aug_visdrone,runs/logs/yolo11n_p2_coordatt_smallobj_aug_resume_20260609_072221.stdout.log
YOLO11n-P2-CoordAttention-SmallObjAug,car,515,14064,0.63500,0.78600,0.77200,0.51700,runs/detect/yolo11n_p2_coordatt_smallobj_aug_visdrone,runs/logs/yolo11n_p2_coordatt_smallobj_aug_resume_20260609_072221.stdout.log
YOLO11n-P2-CoordAttention-SmallObjAug,van,421,1975,0.46900,0.36500,0.34900,0.24400,runs/detect/yolo11n_p2_coordatt_smallobj_aug_visdrone,runs/logs/yolo11n_p2_coordatt_smallobj_aug_resume_20260609_072221.stdout.log
YOLO11n-P2-CoordAttention-SmallObjAug,truck,266,750,0.46100,0.29500,0.28100,0.18000,runs/detect/yolo11n_p2_coordatt_smallobj_aug_visdrone,runs/logs/yolo11n_p2_coordatt_smallobj_aug_resume_20260609_072221.stdout.log
YOLO11n-P2-CoordAttention-SmallObjAug,tricycle,337,1045,0.40800,0.22800,0.19500,0.10200,runs/detect/yolo11n_p2_coordatt_smallobj_aug_visdrone,runs/logs/yolo11n_p2_coordatt_smallobj_aug_resume_20260609_072221.stdout.log
YOLO11n-P2-CoordAttention-SmallObjAug,awning-tricycle,220,532,0.28000,0.14800,0.09130,0.05660,runs/detect/yolo11n_p2_coordatt_smallobj_aug_visdrone,runs/logs/yolo11n_p2_coordatt_smallobj_aug_resume_20260609_072221.stdout.log
YOLO11n-P2-CoordAttention-SmallObjAug,bus,131,251,0.57600,0.44600,0.42900,0.30400,runs/detect/yolo11n_p2_coordatt_smallobj_aug_visdrone,runs/logs/yolo11n_p2_coordatt_smallobj_aug_resume_20260609_072221.stdout.log
YOLO11n-P2-CoordAttention-SmallObjAug,motor,485,4886,0.48000,0.43200,0.39500,0.16400,runs/detect/yolo11n_p2_coordatt_smallobj_aug_visdrone,runs/logs/yolo11n_p2_coordatt_smallobj_aug_resume_20260609_072221.stdout.log
